question,option1,option2,option3,option4,answer,image
ตัวเลือกใดต่อไปนี้กล่าวถูกต้อง,การสร้าง Decision tree เป็น Greedy algorithm,การทำ Feature scaling มีผลต่อผลลัพธ์ของต้นไม้,Decision tree อาจมี Decision boundaries ที่ไม่ตั้งฉากกัน,Decision tree ใช้ได้กับ Classification เท่านั้น,1,NULL
Ensemble learning จะได้ผลดีถ้า,มีโมเดลที่หลากหลายมากเพียงพอ,โมเดลแต่ละโมเดลที่เทรนจะต้องเป็นประเภทเดียวกัน,ใช้ Majority vote ในการรวบรวมเป็นคำตอบสุดท้ายเท่านั้น,มีโมเดลที่มี Performance ที่สูงๆเท่านั้น,1,NULL
ตัวเลือกใดเป็นประเภทของ Ensemble learning,Bagging,Boosting,Stacking,ถูกทุกตัวเลือก,4,NULL
ข้อใดกล่าวถูกต้อง,Bagging สามารถสร้างโมเดลหลายๆโมเดลแบบ Parallel ได้,Boosting ไม่สามารถสร้างโมเดลหลายๆโมเดลแบบ Parallel ได้ เนื่องจากต้องพยายามแก้ไข Error ที่เกิดจากโมเดลก่อนหน้า,Stacking มีการเทรนโมเดลอีกตัวหนึ่งเพื่อมารวบรวมคำตอบเพื่อเป็นคำตอบสุดท้าย,ถูกทุกตัวเลือก,4,NULL
ตัวเลือกใดกล่าวถูกต้องเกี่ยวกับ Random forest,สุ่ม Subset of features ที่จะเอามาเพื่อสร้างต้นไม้แต่ละต้น,สุ่ม Subset of samples ที่จะเอามาเพื่อสร้างต้นไม้แต่ละต้น,Random forest เป็นเทคนิคประเภท Bagging,ถูกทุกตัวเลือก,4,NULL
ตัวเลือกใดเป็นการลด Model complexity ของ Random forest,ลดจำนวนต้นไม้,เพิ่มจำนวนต้นไม้,เพิ่มจำนวน Features ที่เอามาพิจารณาตอนสร้างต้นไม้,XXX,1,NULL
การรวมคำตอบเพื่อเป็นคำตอบสุดท้ายของ Random forest ทำอย่างไร,หาค่าเฉลี่ยจากคำตอบของต้นไม้ทุกต้น,เทรน Linear regression บนคำตอบของต้นไม้ทุกต้น,ใช้คำตอบของต้นไม้ที่มีผลการทำนายดีสุด,ใช้คำตอบของต้นไม้ที่ใหญ่ที่สุด,1,NULL
ตัวเลือกใดกล่าวถูกต้อง,"AdaBoost, Gradient Boosting, XGBoost ใช้สำหรับ Classification และ Regression",Stump คือ Decision tree ที่มีความลึก 1 หน่วย ประกอบไปด้วย 1 Decision node และ 2 Leaf nodes,"AdaBoost, Gradient Boosting, XGBoost ใช้ Weak learners หลายๆตัวในการหาคำตอบสุดท้าย",ถูกทุกตัวเลือก,4,NULL
ตัวเลือกใดไม่ใช่จุดประสงค์ของการทำ Feature engineering,เพื่อให้ข้อมูลมีความเหมาะสมในการเทรนโมเดลมากขึ้น,เพื่อให้แปลความหมายได้เหมาะสมขึ้น,เพื่อทำให้ความสัมพันธ์ระหว่าง Features กับ Target มีความซับซ้อนลดลง,เพื่อแก้ปัญหา Overfitting,4,NULL
Mutual information ที่ใช้วัดความสัมพันธ์ของตัวแปรสองตัวใดๆ มีค่าอยู่ในช่วงใด,"[-1,1]","[0,1]","[0,inf)","(-inf,inf)",3,NULL
ตัวเลือกใดไม่ใช่ตัวอย่างของการทำ Feature engineering,การสร้าง Feature ใหม่ที่บ่งบอกอัตราส่วนการใช้บัตรเครดิตต่อวงเงินในแต่ละเดือน,การนำ Features และ Target มาทำ Clustering และใช้ Cluster label เป็น Feature ใหม่,การสร้าง Feature ใหม่ที่บ่งบอกว่านักศึกษาคนหนึ่งเรียนคณะอะไรจากรหัสนิสิต,การสร้าง Feature ใหม่โดยการหาค่าเฉลี่ยการใช้นำ้ประปาในแต่ละสัปดาห์,2,NULL
"หลังจากการแปลงระดับการศึกษาที่มีค่าดังต่อไปนี้ Primary school, High school, และ University ด้วยวิธี Ordinal encoding จะทำให้ได้ Feature vector ที่มีกี่ Dimension",1,2,3,4,1,NULL
"หลังจากการแปลงประเภทห้องพักที่มีค่าดังต่อไปนี้ Single, Deluxe, Grand ด้วยวิธี One-hot encoding จะทำให้ได้ Feature vector ที่มีกี่ Dimension",1,3,5,7,2,NULL
ตัวเลือกใดกล่าวผิด,Distance ระหว่าง One-hot vectors ใด ๆ มีค่าเท่ากันเสมอ,Word embedding คือการเปลี่ยนคำแต่ละคำให้เป็น Numeric vector,Distance ระหว่าง Ordinal encoded vectors ใดๆมีค่าเท่ากับ 1 เสมอ,ถูกทุกตัวเลือก,3,NULL
ตัวเลือกใดเป็นวิธีจัดการ Missing data,Sample removal,Feature removal,Imputation,ถูกทุกตัวเลือก,4,NULL
ถ้ามี Feature หนึ่งที่มีข้อมูลหายไป 95% ควรจัดการอย่างไร,Remove samples ที่ไม่มีข้อมูลของ Feature นั้น,Remove feature นั้นทิ้งไป,แทนที่ข้อมูลที่หายไปด้วย 0,ถูกทุกตัวเลือก,2,NULL
"Feature หนึ่งใน มีค่าเป็น 10,20,10,30,20 และ 10,30,20 สำหรับใน Training set และ Test set ตามลำดับ ถ้าจะใช้ค่าเฉลี่ยในการ Impute missing values ควรใช้ค่าอะไรในการ Impute Missing values ใน Test set",18,20,18.75,0,1,NULL
Feature transformation แบบใดที่ไม่เปลี่ยน Distribution shape,Power transforms,Min-max scaling,Standardization,ถูกทุกตัวเลือก,4,NULL
โมเดลในตัวเลือกใดไม่จำเป็นต้องทำ Feature scaling,Linear regression,Neural network,Tree-based models,Support vector machine,3,NULL
ฟังก์ชัน fit_transform ใน sklearn ควรใช้กับข้อมูลใด,Training set,Test set,Validation set,ถูกต้องทุกตัวเลือก,1,NULL
ถ้าจะทำการ Fine-tune โมเดล Random Forest ด้วยวิธี Grid search โดยมี hyperparameters ดังนี้,1 รอบ,10 รอบ,60 รอบ,90 รอบ,4,Screenshot_94.png
ข้อใดกล่าวไม่ถูกต้องเกี่ยวกับ Randomized search,สามารถกำหนดจำนวนรอบในการเทรนโมเดลเพื่อหา Hyperparameters ที่เหมาะสมได้,ค่า Hyperparameter เป็นการสุ่มจาก Distribution ที่กำหนดให้,ใช้วิธี Randomized search เมื่อรู้ค่าที่แน่นอนของ Hyperparameters ที่จะทดลอง,ค่า Hyperparameters ที่เหมาะสมที่สุดที่ได้จาก Randomized search คือค่าที่ทำให้โมเดลมีประสิทธิภาพบน Validation sets มากที่สุด,3,NULL
"กำหนดให้จำนวนต้นไม้ที่เหมาะสมที่สุดในโมเดล Random Forest คือ 100 ต้น ซึ่งได้จากการทำ Grid search โดยทดลองด้วยจำนวน 10, 50, 100 ต้น ควรทำอย่างไรต่อ",Search ต่อ เพราะว่าค่าที่เหมาะสมเป็นค่าที่ขอบที่ทดลอง,นำไปใช้ได้เลย เพราะเป็นค่าที่ทำให้โมเดลมีประสิทธิภาพที่ดีที่สุดแล้ว,XXX,XXX,1,NULL
ตัวเลือกใดคือจุดประสงค์ของการทำ Model analysis,เพื่อเข้าใจ Errors ในการทำนายมากขึ้น,เพื่อเข้าใจว่า Features ใดสำคัญต่อ Target ที่ทำนาย,เพื่อเข้าใจว่า Features ใดบ้างมีอิทธิพลในการทำนายในแต่ละ Instance,ถูกต้องทุกตัวเลือก,4,NULL
ข้อใดกล่าวถูกต้องเกี่ยวกับ SHAP,SHAP เป็นวิธีที่ใช้ในการแปลความหมายของการทำนายว่า Features ใดมีความสำคัญเท่าไหร่,SHAP ใช้ได้กับปัญหา Regression เท่านั้น,SHAP ใช้ได้กับปัญหา Classification เท่านั้น,SHAP ใช้ได้กับ Tree-based models เท่านั้น,1,NULL
ตัวเลือกใดเป็นการ Visualisation เพื่อช่วยในการทำ Error analysis,Confusion matrix สำหรับปัญหา Classification,Scatter plot ระหว่างค่าจริงกับค่าที่โมเดลทำนาย สำหรับปัญหา Regression,Force plot เพื่อแสดงค่า SHAP สำหรับผลการทำนาย Samples ที่โมเดลทำนายผิด,ถูกต้องทุกตัวเลือก,4,NULL
ตัวเลือกใดเป็นข้อแตกต่างของ supervised และ unsupervised learning,supervised learning มีตัวอย่าง target output แต่ unsupervised learning ไม่มี,supervised learning มีผู้สอนกำหนด objective function ให้ แต่ unsupervised learning ไม่มี,supervised learning เป็นการทำงานตามคำสั่ง แต่ unsupervised learning เป็นการทำงานแบบสุ่ม,ทั้งสองรูปแบบไม่ต่างกัน,1,NULL
ตัวเลือกใดเป็นตัวอย่างของ cluster ที่ดี,สมาชิกใน cluster มีรูปแบบคล้ายๆ กัน,สมาชิกต่าง cluster มีรูปแบบต่างกัน,จำนวนสมาชิกใน cluster ไม่น้อยจนเกินเหตุ,ถูกทุกตัวเลือก,4,NULL
distance กับ similarity ต่างกันอย่างไร,distance ยาวได้ไม่จำกัด แต่ similarity มีค่าสูงสุดจำกัด,distance มีค่าต่ำสุด แต่ similarity ไม่มีค่าต่ำสุด,distance เป็นค่าต่อเนื่อง แต่ similarity เป็นค่าไม่ต่อเนื่อง,distance ใช้กับตัวเลข ส่วน similarity ใช้กับข้อมูลชนิดกลุ่ม,1,NULL
เราจะประเมินผล clustering ได้อย่างไรบ้าง,ใช้ labeled data เข้ามาช่วย แล้วประเมินแบบเดียวกับ supervised learning,วัดความคล้ายของสมาชิกภายใน cluster และความต่างของสมาชิกระหว่าง cluster,วัดความแปรปรวนภายใน cluster,ถูกทุกตัวเลือก,4,NULL
ตัวเลือกใดไม่ถูกต้อง,Euclidean distance เหมาะกับข้อมูลที่เป็นตัวเลข มีค่าต่อเนื่อง,Hamming distance เหมาะกับข้อมูลชนิดกลุ่ม,Manhattan distance เหมาะกับข้อมูลที่เป็นตัวเลข,Cosine similarity เหมาะกับข้อมูลที่แต่ละมิติมีการกระจายไม่เท่ากัน,4,NULL
ตัวเลือกใดเป็นสาเหตุให้ต้องลดมิติของข้อมูล,เพื่อให้แสดงผลได้ง่าย,เพื่อประหยัดพื้นที่ในการเก็บข้อมูล,เพื่อเลือกเฉพาะข้อมูลที่เป็นประโยชน์,ถูกทุกตัวเลือก,4,NULL
จากรูปต่อไปนี้ ตัวเลือกใดเหมาะสมในการลดมิติของข้อมูลให้เหลือ 1 มิติ,เลือกเฉพาะข้อมูลในแกน x1,เลือกเฉพาะข้อมูลในแกน x2,ใช้ PCA เลือกแกนหลักแกนแรก,ใช้ t-SNE บีบข้อมูลให้เหลือแกนเดียว,4,unsup1-4994-16353152395180.png
ตัวเลือกใดเป็น cluster ที่น่าจะได้จาก k-means algorithm เมื่อกำหนด k=2,คำตอบที่ถูกคือ A,คำตอบที่ถูกคือ B,คำตอบที่ถูกคือ C,คำตอบที่ถูกคือ D,3,Q3-4994-16353153107786.png
ธุรกรรมการซื้อสินค้าของออนไลน์ลูกค้า ประกอบด้วย,Mean,Mode,"Mean ของประเภทร้านค้า, Mode ของยอดเงิน ช่วงเวลา และ timezone","Mean ของยอดเงิน, ช่วงเวลา และ mode ของ ประเภทร้านค้า timezone",4,Screenshot_95.png
ควรเลือกจำนวน cluster (k) อย่างไร,ทดลองทีละค่า k จากน้อยไปมาก,ตั้งให้จำนวน luster มากกว่าที่คาดว่าจะได้ระดับหนึ่ง,ใช้ elbow method,ถูกทุกตัวเลือก,4,NULL
ตัวเลือกใดเป็นวิธีการแบ่งกลุ่มข้อมูล (cluster) แบบมีลำดับ,แบ่งกลุ่มใหญ่ก่อน แล้วค่อยๆ แบ่งกลุ่มย่อยในกลุ่มใหญ่,สร้างกลุ่มย่อยก่อน แล้วค่อยๆ รวมกลุ่มย่อยเป็นกลุ่มใหญ่,กำหนดจำนวนกลุ่มทั้งหมดที่ต้องการ แล้วใช้ K-Means clustering,แบ่งกลุ่มใหญ่ก่อน แล้วค่อยๆ แบ่งกลุ่มย่อยในกลุ่มใหญ่ และ สร้างกลุ่มย่อยก่อน แล้วค่อยๆ รวมกลุ่มย่อยเป็นกลุ่มใหญ่,4,NULL
ตัวเลือกใดเป็นการกำหนดค่าเพื่อให้ได้ cluster ที่เป็นประโยชน์,กำหนดจำนวนสมาชิกขั้นต่ำใน cluster,กำหนดความแปรปรวนขั้นสูงใน cluster,กำหนดความลึกสูงสุดของ cluster,ถูกทุกตัวเลือก,4,NULL
จุดเด่นของ densibity-based clustering คืออะไร,หาจุดกึ่งกลางของ cluster ได้ง่าย,รองรับรูปร่างของ cluster หลายรูปแบบ,แบ่งข้อมูลเป็นลำดับชั้นได้สะดวก,กำหนดจำนวน cluster ได้,2,NULL
DBSCAN สร้าง cluster ได้อย่างไร,ลดระยะระหว่าง sample กับจุดศูนย์กลาง cluster,พิจารณาจำนวน sample ใน cluster ณ ขณะหนึ่ง,ลดความแปรปรวนของ sample ใน cluster ณ ขณะหนึ่ง,รวม sample ในพื้นที่เล็ก ๆ ที่หนาแน่นพอไว้ด้วยกัน,4,NULL
ใน association rule เราจะใช้เกณฑ์ใดในการพิจารณาว่า frequent itemset หนึ่งๆ นั้น น่าสนใจเพียงพอ,จำนวนครั้งที่ itemset นั้นปรากฏในชุดข้อมูล,จำนวนชนิดของ item ใน itemset,มูลค่ารวมของ itemset,จำนวนชิ้นของ item ใน itemset,1,NULL
support กับ confidence ต่างกันอย่างไร,ไม่แตกต่างกัน,support ใช้ในการเลือก itemset ส่วน confidence ใช้ในการเรียงลำดับ itemset,support ใช้กับ itemset 1 ชุด ส่วน confidence ใช้บอกความสัมพันธ์ของ itemset 2 ชุด,support เป็นความน่าจะเป็น มีค่า 0-1 ส่วน confidence เป็นคะแนนมีค่าบวกลบได้,3,NULL
เมื่อทำ matrix factorization A = B C จาก matrix ตั้งต้นขนาด A = |D|x|V| มาเป็น matrix B และ C ขนาด |D|x|T| และ |T|x|V| ตามลำดับแล้ว ตัวเลือกใดต่อไปนี้ถูกต้อง,เมื่อ |T| < |V| จะทำให้ matrix B ที่ได้ สามารถใช้ประมาณค่าแทน matrix A ได้ โดยใช้พื้นที่ลดลง,เราสามารถดูการกระกระจายของคำใน topic ได้โดยดูจากค่าใน matrix C,แต่ละแถว (row) ของ matrix A และ B เรียกว่า document vector,ถูกทุกตัวเลือก,4,NULL
เมื่อใช้ topic model เราจะหา topic vector ของเอกสารใหม่ที่ไม่ได้ใช้ train model ได้อย่างไร,กรณีที่เป็น matrix factorization ให้นำ word-topic distribution vector มาคูณกับ document-word vector,กรณีที่เป็น LDA ให้ fit document ใหม่กับ model เดิม เพื่อหา topic distribution vector,กรณีที่เป็น matrix factorization ให้เลือก vector ของเอกสารเดิมที่คล้ายกับเอกสารใหม่ที่สุดมาใช้,กรณีที่เป็น matrix factorization ให้นำ word-topic distribution vector มาคูณกับ document-word vector และ กรณีที่เป็น LDA ให้ fit document ใหม่กับ model เดิม เพื่อหา topic distribution vector,4,NULL
ตัวเลือกใดเป็นตัวอย่างการใช้งาน semi-supervised learning,เพิ่มจำนวนข้อมูลที่ใช้ในการ train model ขึ้นโดยไม่ต้องมี labeled data,เพิ่มความแม่นยำของ classification model โดยอาศัย unlabeled data,ปรับ model ให้เหมาะกับ data distribution ใหม่มากขึ้น,ถูกทุกตัวเลือก,4,NULL
ข้อใดไม่ใช่ time series,ข้อมูลปริมาณน้ำฝนรายวันในปี 2020,ค่าไฟฟ้าของห้องทุกห้องในคอนโดตอนเดือนมกราคม 2020,ราคาหุ้นรายวันของบริษัทในกลุ่ม S&P500 ในช่วงสัปดาห์สุดท้ายของปี 2020,อุณหภูมิเฉลี่ยรายปีของประเทศสหรัฐตั้งแต่ปี 1950 ถึง 2000,2,NULL
ข้อใดไม่ถูกต้องเกี่ยวกับข้อมูล time series,ข้อมูล time series อาจมีข้อมูลที่ขาดหายไปได้ จะต้องมีการเติมข้อมูลที่ขาดหายไปก่อนประมวลผล,ข้อมูล time series ต้องเก็บบนช่วงเวลาที่ห่างเท่า ๆ กัน,ข้อมูล time series เป็นข้อมูลที่มีลักษณะเปลี่ยนไปตามเวลา,ทุกข้อถูกต้องเกี่ยวกับ time series,4,NULL
ข้อมูลด้านล่างเป็นข้อมูลจำนวนผู้ป่วยใหม่โรคcovid-19รายวันในประเทศต่าง ๆ ข้อมูลดังกล่าวเป็นข้อมูลประเภทใด,เป็น time series แบบ univariate,เป็น time series แบบ multivariate,ไม่ใช่ time series,XXX,2,P01_Q03_covidcases-1-16352964186435.png
ข้อมูลด้านล่างเป็น time series ประเภทใด,Additive,Multiplicative,Pseudo-additive,XXX,1,P02_Q01_timeseries-1-16352964463987.png
เมื่อนำข้อมูลจากข้อหนึ่งมา decompose ด้วย seasonal decompose จากlibrary statsmodels จะได้ส่วนประกอบมาสามส่วนดังภาพด้านล่าง จงบอกว่าภาพใดเป็นส่วนประกอบใดของ time series,A - trend  B - seasonal  C - residual,A - seasonal  B - residual  C - trend,A - residual  B - trend  C - seasonal,ไม่มีข้อถูก,2,P02_Q02_decompose-1-16352964742969.png
ข้อใดไม่ถูกต้องเกี่ยวกับ time series decomposition,ข้อมูล time series จะประกอบด้วยสามส่วนเสมอ,Trend ของ time series บ่งบอกถึงความสัมพันธ์ระหว่างเวลาปัจจุบันกับเวลาก่อนหน้า,Seasonal ของ time series สามารถมีได้หลายระดับ,ถ้าเลือกวิธี decompose ที่เหมาะสมกับ time series จะได้ residual ที่มีขนาดเล็ก,1,NULL
ข้อใดกล่าวถูกต้องที่สุดเกี่ยวกับ stationary property ของ time series,time series ที่ stationary จะมีค่า variance ที่ต่ำกว่า non-stationary,time series ที่ stationary จะไม่มี seasonal แต่สามารถมี trend ได้,time series ที่ non-stationary จะสามารถนำมาวิเคราะห์ได้ง่ายกว่า stationary,ถ้าแบ่งข้อมูล stationary time series เป็นสองส่วน ค่า variance ของข้อมูลครึ่งแรกจะมีค่าเท่ากับของครึ่งหลัง,4,NULL
